tableName,status,row_count,error_textdate
customers,Success,100,No,2023-12-17 06:12:12.066302
organizations,Success,100000,No,2023-12-17 06:12:17.279996
people,Success,100,No,2023-12-17 06:12:17.295617
customers,Success,100,No,2023-12-17 06:18:32.837986
organizations,Success,100000,No,2023-12-17 06:18:36.766636
customers,Success,100,No,2023-12-17 06:22:47.171768
organizations,Success,100000,No,2023-12-17 06:22:51.002773
people-2000000,Success,2000000,No,2023-12-17 06:24:13.961923
people,Success,100,No,2023-12-17 06:24:14.072812
customers,Success,100,No,2023-12-17 06:35:22.100570
customers,Success,100,No,2023-12-17 06:35:37.795473
organizations,Success,200,No,2023-12-17 06:35:41.416135
people-2000000,Fail,0,Column mismatch in table people-2000000.,2023-12-17 06:35:55.233573
people,Success,100,No,2023-12-17 06:35:55.399412
customers,Success,100,No,2023-12-17 07:04:06.102386
organizations,Success,200,No,2023-12-17 07:04:09.557363
customers,Success,100,No,2023-12-17 07:08:18.327731
organizations,Success,200,No,2023-12-17 07:08:21.768812
customers,Success,100,No,2023-12-17 13:36:33.855086
organizations,Success,200,No,2023-12-17 13:36:38.101876
customers,Success,100,No,2023-12-17 13:44:30.176053
organizations,Success,200,No,2023-12-17 13:44:33.964975
people-2000000,Success,4000,No,2023-12-17 13:45:59.426524
people,Success,100,No,2023-12-17 13:45:59.693810
customers,Success,100,No,2023-12-17 13:48:23.318211
organizations,Success,20,No,2023-12-17 13:48:26.882247
customers,Success,100,No,2023-12-17 13:49:04.314724
organizations,Success,2,No,2023-12-17 13:49:06.571220
people-2000000,Success,40,No,2023-12-17 13:49:50.263239
people,Success,100,No,2023-12-17 13:49:50.371948
customers,Success,100,No,2023-12-17 13:51:31.898809
organizations,Success,2,No,2023-12-17 13:51:34.399661
people-2000000,Success,25,No,2023-12-17 13:52:18.305352
people,Success,100,No,2023-12-17 13:52:18.414063
customers,Success,100,No,2023-12-17 13:56:18.979377
organizations,Success,100000,No,2023-12-17 13:56:22.400778
customers,Success,100,No,2023-12-17 13:56:47.616654
organizations,Success,100000,No,2023-12-17 13:56:49.883127
customers,Success,100,No,2023-12-17 13:57:16.784873
customers,Success,100,No,2023-12-17 19:03:07.762204
organizations,Success,100000,No,2023-12-17 19:03:07.762204
customers,Success,100,No,2023-12-17 19:21:43.767335
organizations,Success,100000,No,2023-12-17 19:21:43.767335
customers,Success,100,No,2023-12-17 19:27:31.508767
organizations,Success,100000,No,2023-12-17 19:27:31.508767
people-2000000,Success,2000000,No,2023-12-17 19:27:31.508767
people,Success,100,No,2023-12-17 19:27:31.508767
customers,Success,100,No,2023-12-17 19:31:36.673441
organizations,Success,100000,No,2023-12-17 19:31:36.673441
people-2000000,Success,2000000,No,2023-12-17 19:31:36.673441
people,Success,100,No,2023-12-17 19:31:36.673441
customers,Success,100,No,2023-12-17 19:35:40.426777
organizations,Success,100000,No,2023-12-17 19:35:40.426777
people-2000000,Success,2000000,No,2023-12-17 19:35:40.426777
people,Success,100,No,2023-12-17 19:35:40.426777
customers,Success,100,No,2023-12-17 19:38:59.382876
organizations,Success,100000,No,2023-12-17 19:38:59.382876
people-2000000,Success,2000000,No,2023-12-17 19:38:59.382876
people,Success,100,No,2023-12-17 19:38:59.382876
